R	G	B	lambda
0.000787877	-0.000146831	0.015562832	390
0.303406645	0.003663452	-2.12573E-05	663
0.287127711	0.003242934	-1.88297E-05	664
0.271585865	0.002862897	-1.66349E-05	665
0.25675322	0.00252025	-1.46552E-05	666
0.242602561	0.002212064	-1.28739E-05	667
0.229107467	0.001935572	-1.12751E-05	668
0.216242391	0.001688163	-9.84377E-06	669
0.203982711	0.001467381	-8.56579E-06	670
0.192304753	0.001270916	-7.4279E-06	671
0.181185799	0.001096606	-6.41769E-06	672
0.170604066	0.000942427	-5.52353E-06	673
0.160538678	0.000806495	-4.73458E-06	674
0.150969627	0.000687056	-4.04075E-06	675
0.141877722	0.000582481	-3.4327E-06	676
0.133244533	0.000491264	-2.90175E-06	677
0.12505234	0.000412016	-2.43993E-06	678
0.117284068	0.000343457	-2.03986E-06	679
0.109923237	0.000284413	-1.69479E-06	680
0.102953901	0.00023381	-1.39855E-06	681
0.096360603	0.000190668	-1.1455E-06	682
0.090128323	0.000154095	-9.30501E-07	683
0.084242443	0.000123284	-7.48905E-07	684
0.078688706	9.75043E-05	-5.96507E-07	685
0.073453195	7.60987E-05	-4.69522E-07	686
0.068522299	5.84776E-05	-3.64551E-07	687
0.063882708	4.41137E-05	-2.78555E-07	688
0.059521392	3.25379E-05	-2.08828E-07	689
0.0554256	2.33341E-05	-1.5297E-07	690
0.051582857	1.6135E-05	-1.08859E-07	691
0.047980967	1.06179E-05	-7.46308E-08	692
0.044608016	6.50055E-06	-4.8653E-08	693
0.041452383	3.53737E-06	-2.9504E-08	694
0.038502751	1.51582E-06	-1.5952E-08	695
0.035748113	2.53037E-07	-6.93597E-09	696
0.03317779	-4.07333E-07	-1.54724E-09	697
0.030781437	-5.98068E-07	9.87251E-10	698
0.02854906	-4.31097E-07	1.32054E-09	699
0.026471018	-7.37768E-20	7.41432E-22	700
0.02453804	6.17702E-07	-2.51956E-09	701
0.022741226	1.35846E-06	-5.86391E-09	702
0.021072055	2.17081E-06	-9.72861E-09	703
0.019522384	3.01368E-06	-1.38692E-08	704
0.018084456	3.85484E-06	-1.80926E-08	705
0.016750891	4.66957E-06	-2.2249E-08	706
0.015514689	5.43947E-06	-2.62255E-08	707
0.014369221	6.15136E-06	-2.99396E-08	708
0.013308224	6.7964E-06	-3.33339E-08	709
0.012325793	7.36928E-06	-3.63718E-08	710
0.011416372	7.86749E-06	-3.90334E-08	711
0.010574739	8.29079E-06	-4.13119E-08	712
0.009795999	8.64065E-06	-4.32109E-08	713
0.009075571	8.91986E-06	-4.47419E-08	714
0.008409171	9.13218E-06	-4.59222E-08	715
0.007792802	9.282E-06	-4.67733E-08	716
0.007222737	9.37415E-06	-4.73193E-08	717
0.006695511	9.4137E-06	-4.75861E-08	718
0.006207898	9.40576E-06	-4.76002E-08	719
0.005756905	9.35543E-06	-4.7388E-08	720
0.005339754	9.26764E-06	-4.69755E-08	721
0.004953871	9.14713E-06	-4.63877E-08	722
0.004596872	8.99837E-06	-4.56483E-08	723
0.004266552	8.82555E-06	-4.47796E-08	724
0.003960869	8.63255E-06	-4.38021E-08	725
0.003677939	8.42292E-06	-4.2735E-08	726
0.003416019	8.19992E-06	-4.15955E-08	727
0.003173503	7.96646E-06	-4.03993E-08	728
0.002948905	7.72518E-06	-3.91605E-08	729
0.002740857	7.4784E-06	-3.78917E-08	730
0.002548095	7.22821E-06	-3.66038E-08	731
0.002369455	6.9764E-06	-3.53068E-08	732
0.002203863	6.72457E-06	-3.40089E-08	733
0.002050327	6.47407E-06	-3.27175E-08	734
0.001907937	6.22607E-06	-3.1439E-08	735
0.001775849	5.98157E-06	-3.01785E-08	736
0.001653287	5.74137E-06	-2.89405E-08	737
0.001539536	5.50618E-06	-2.77287E-08	738
0.001433937	5.27655E-06	-2.6546E-08	739
0.00133588	5.05291E-06	-2.53948E-08	740
0.001244804	4.83561E-06	-2.42768E-08	741
0.001160192	4.6249E-06	-2.31935E-08	742
0.001081565	4.42097E-06	-2.21458E-08	743
0.001008482	4.22392E-06	-2.11343E-08	744
0.000940537	4.03381E-06	-2.01591E-08	745
0.000877352	3.85064E-06	-1.92204E-08	746
0.000818581	3.67437E-06	-1.8318E-08	747
0.000763903	3.50495E-06	-1.74513E-08	748
0.000713021	3.34226E-06	-1.662E-08	749
0.000665662	3.18619E-06	-1.58233E-08	750
0.00062157	3.03658E-06	-1.50604E-08	751
0.000580513	2.89329E-06	-1.43305E-08	752
0.000542272	2.75614E-06	-1.36326E-08	753
0.000506648	2.62496E-06	-1.29658E-08	754
0.000473454	2.49955E-06	-1.23292E-08	755
0.000442518	2.37972E-06	-1.17215E-08	756
0.00041368	2.26529E-06	-1.1142E-08	757
0.000386793	2.15606E-06	-1.05894E-08	758
0.000361721	2.05183E-06	-1.00627E-08	759
0.000338335	1.95241E-06	-9.56105E-09	760
0.000316518	1.85761E-06	-9.08327E-09	761
0.000296161	1.76725E-06	-8.62843E-09	762
0.000277163	1.68115E-06	-8.19553E-09	763
0.00025943	1.59911E-06	-7.78365E-09	764
0.000242874	1.52098E-06	-7.39186E-09	765
0.000227414	1.44658E-06	-7.01927E-09	766
0.000212976	1.37574E-06	-6.665E-09	767
0.000199488	1.30831E-06	-6.32823E-09	768
0.000186887	1.24414E-06	-6.00815E-09	769
0.000175112	1.18308E-06	-5.70399E-09	770
